sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
128,Open Elective,BHUM236L,Taxation,Theory Only,1,3,0,0,0,3
129,Open Elective,BMEE102P,Engineering Design Visualisation Lab,Lab Only,1,0,0,4,0,2
130,Open Elective,BMEE201L,Engineering Mechanics,Theory Only,1,2,1,0,0,3
131,Open Elective,BMEE209L,Materials Science and Engineering,Theory Only,1,3,0,0,0,3
132,Open Elective,BMEE209P,Materials Science and Engineering Lab,Lab Only,1,0,0,2,0,1
133,Open Elective,BMEE355E,Cloud Computing,Embedded Theory and Lab,1,1,0,4,0,3
134,Open Elective,BMHA202L,Manufacturing Processes,Theory Only,1,3,0,0,0,3
135,Open Elective,BMHA202P,Manufacturing Processes Lab,Lab Only,1,0,0,2,0,1
136,Open Elective,BSTS301P,Advanced Competitive Coding � I,Soft Skill,1,3,0,0,0,1.5
137,Open Elective,BSTS302P,Advanced Competitive Coding - II,Soft Skill,1,3,0,0,0,1.5
138,Open Elective,CFOC101M,Advanced Green Manufacturing Systems,Online Course,1,0,0,0,0,3
139,Open Elective,CFOC102M,Introduction to Cognitive Psychology,Online Course,1,0,0,0,0,3
140,Open Elective,CFOC103M,Introduction to Political Theory,Online Course,1,0,0,0,0,3
141,Open Elective,CFOC104M,Six Sigma,Online Course,1,0,0,0,0,3
142,Open Elective,CFOC105M,Emotional Intelligence,Online Course,1,0,0,0,0,2
143,Open Elective,CFOC106M,Manufacturing Strategy,Online Course,1,0,0,0,0,2
144,Open Elective,CFOC107M,Supply Chain Analytics,Online Course,1,0,0,0,0,2
145,Open Elective,CFOC108M,Systems Engineering: Theory and Practice,Online Course,1,0,0,0,0,2
146,Open Elective,CFOC109M,Design Thinking - A Primer,Online Course,1,0,0,0,0,1
147,Open Elective,CFOC110M,MCDM Techniques Using R and MARLAB,Online Course,1,0,0,0,0,1
148,Open Elective,CFOC111M,Perspectives on Neurolinguistic,Online Course,1,0,0,0,0,1
149,Open Elective,CFOC112M,Sociology of Science,Online Course,1,0,0,0,0,1
150,Open Elective,CFOC113M,Contemporary Themes in India’s Economic Development and Economic Survey,Online Course,1,0,0,0,0,3
151,Open Elective,CFOC114M,Problem Solving through Programming in C,Online Course,1,0,0,0,0,3
152,Open Elective,CFOC115M,Design and Analysis of Algorithms,Online Course,1,0,0,0,0,2
153,Open Elective,CFOC116M,Computer Vision,Online Course,1,0,0,0,0,3
154,Open Elective,CFOC117M,Spatial Informatics,Online Course,1,0,0,0,0,2
155,Open Elective,CFOC118M,Practical Machine Learning with Tensorflow,Online Course,1,0,0,0,0,2
156,Open Elective,CFOC119M,Training of Trainers,Online Course,1,0,0,0,0,3
157,Open Elective,CFOC120M,Knowledge Management,Online Course,1,0,0,0,0,2
158,Open Elective,CFOC121M,Leadership,Online Course,1,0,0,0,0,1
159,Open Elective,CFOC122M,Educational Leadership,Online Course,1,0,0,0,0,2
160,Open Elective,CFOC123M,Cost Accounting,Online Course,1,0,0,0,0,1
161,Open Elective,CFOC124M,"Practitioners Course In Descriptive, Predictive and Prescriptive Analytics",Online Course,1,0,0,0,0,2
162,Open Elective,CFOC125M,Decision Making Under Uncertainty,Online Course,1,0,0,0,0,1
163,Open Elective,CFOC126M,Data Analysis and Decision Making - III,Online Course,1,0,0,0,0,3
164,Open Elective,CFOC127M,Business Analytics and Data Mining Modeling Using R Part II,Online Course,1,0,0,0,0,1
165,Open Elective,CFOC128M,Business Analytics and Text Mining Modeling Using Python,Online Course,1,0,0,0,0,2
166,Open Elective,CFOC129M,Economics of Health and Health Care,Online Course,1,0,0,0,0,2
167,Open Elective,CFOC130M,Human Resource Development,Online Course,1,0,0,0,0,3
168,Open Elective,CFOC131M,Performance and Reward Management,Online Course,1,0,0,0,0,3
