sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
82,Discipline Elective,BCSE331P,Exploratory Data Analysis Lab,Lab Only,1,0,0,2,0,1
83,Discipline Elective,BCSE332L,Deep Learning,Theory Only,1,3,0,0,0,3
84,Discipline Elective,BCSE332P,Deep Learning Lab,Lab Only,1,0,0,2,0,1
85,Discipline Elective,BCSE333L,Statistical Inference,Theory Only,1,2,0,0,0,2
86,Discipline Elective,BCSE333P,Statistical Inference Lab,Lab Only,1,0,0,2,0,1
87,Discipline Elective,BCSE334L,Predictive Analytics,Theory Only,1,3,0,0,0,3
88,Discipline Elective,BCSE335L,Healthcare Data Analytics,Theory Only,1,3,0,0,0,3
89,Discipline Elective,BCSE336L,Financial Data Analytics,Theory Only,1,2,0,0,0,2
90,Discipline Elective,BCSE336P,Financial Data Analytics Lab,Lab Only,1,0,0,2,0,1
91,Discipline Elective,BCSE337P,Embedded System Design Lab,Lab Only,1,0,0,2,0,1
92,Discipline Elective,BCSE391J,Technical Answers to Real Problems Project,Project,1,0,0,0,0,3
93,Discipline Elective,BCSE392J,Design Project,Project,1,0,0,0,0,3
94,Discipline Elective,BCSE393J,Laboratory Project,Project,1,0,0,0,0,3
95,Discipline Elective,BCSE394J,Product Development Project,Project,1,0,0,0,0,3
96,Discipline Elective,BCSE395J,Computer Project,Project,1,0,0,0,0,3
97,Discipline Elective,BCSE396J,Reading Course,Project,1,0,0,0,0,3
98,Discipline Elective,BCSE397J,Special Project,Project,1,0,0,0,0,3
99,Discipline Elective,BCSE398J,Simulation Project,Project,1,0,0,0,0,3
100,Discipline Elective,BCSE401L,Internet of Things,Theory Only,1,3,0,0,0,3
101,Discipline Elective,BCSE402L,Big Data Analytics,Theory Only,1.1,3,0,0,0,3
102,Discipline Elective,BCSE403L,Digital Image Processing,Theory Only,1.1,3,0,0,0,3
103,Discipline Elective,BCSE405L,Advanced Java Programming,Theory Only,1.1,3,0,0,0,3
104,Discipline Elective,BCSE406L,NoSQL Databases,Theory Only,1.1,3,0,0,0,3
105,Discipline Elective,BCSE407L,Computer vision,Theory Only,1.1,3,0,0,0,3
106,Discipline Elective,BCSE408L,Cloud Computing,Theory Only,1.1,3,0,0,0,3
107,Discipline Elective,BCSE409L,Natural Language Processing,Theory Only,1.1,3,0,0,0,3
108,Discipline Elective,BCSE410L,Cyber Security,Theory Only,1.1,3,0,0,0,3
109,Discipline Elective,BCSE411L,Robotics and Automation,Theory Only,1.1,3,0,0,0,3
110,Discipline Elective,BCSE412L,Parallel Computing,Theory Only,1.1,3,0,0,0,3
111,Discipline Elective,BCSE413L,Soft computing,Theory Only,1.1,3,0,0,0,3
112,Discipline Elective,BCSE414L,High Performance Computing,Theory Only,1.1,3,0,0,0,3
113,Discipline Elective,BCSE415L,Human Computer Interaction,Theory Only,1.1,3,0,0,0,3
114,Discipline Elective,BCSE416L,Game Programming,Theory Only,1.1,3,0,0,0,3
115,Discipline Elective,BCSE416P,Game Programming Lab,Lab Only,1,0,0,2,0,1
116,Discipline Elective,BCSE417L,Machine vision,Theory Only,1.1,3,0,0,0,3
